ProductId,LocalOrderCode,Description,Price,weight,UnitOfMeasure,Quantity,Accessory,Title
1SDA013699R0001,1SDA013699R1,SCREWS SEAL S3..S7-T6-T7,23.8,0.014,pcs,1,,Devices
1SDA013920R0001,1SDA013920R1,KIT EF T6 630 - S6 630 6pcs,152,0.792,pcs,1,,Devices
1SDA013921R0001,1SDA013921R1,KIT EF T6 630 - S6 630 8pcs,204,1,pcs,1,,Devices
1SDA013922R0001,1SDA013922R1,KIT FC CuAl 2x240mm2 T6 630-S6 630 6pcs,307,0.489,pcs,1,,Devices
1SDA013923R0001,1SDA013923R1,KIT FC CuAl 2x240mm2 T6 630-S6 630 8pcs,412,0.909,pcs,1,,Devices
1SDA013924R0001,1SDA013924R1,KIT RC 2x150mm2 T6 630 - S6 630 6pcs,307,1.826,pcs,1,,Devices
1SDA013925R0001,1SDA013925R1,KIT RC 2x150mm2 T6 630 - S6 630 8pcs,412,2.422,pcs,1,,Devices
1SDA013954R0001,1SDA013954R1,KIT EF T6 800 - S6 800 6pcs,204,1.394,pcs,1,,Devices
1SDA013955R0001,1SDA013955R1,KIT EF T6 800 - S6 800 8pcs,274,1.85,pcs,1,,Devices
1SDA013956R0001,1SDA013956R1,KIT FC CuAl 3x185mm2 T6 800-S6 800 6pcs,412,2.123,pcs,1,,Devices
1SDA013957R0001,1SDA013957R1,KIT FC CuAl 3x185mm2 T6 800-S6 800 8pcs,545,2.803,pcs,1,,Devices
1SDA013958R0001,1SDA013958R1,KIT RC 3x240mm2 T6 800 - S6 800 6pcs,443,1.946,pcs,1,,Devices
1SDA013959R0001,1SDA013959R1,KIT RC 3x240mm2 T6 800 - S6 800 8pcs,592,2.34,pcs,1,,Devices
1SDA013984R0001,1SDA013984R1,KIT 1/2 3p FP EF S6-T6,76,0.8,pcs,1,,Devices
1SDA013985R0001,1SDA013985R1,KIT 1/2 4p FP EF S6-T6,102,0.8,pcs,1,,Devices
1SDA013986R0001,1SDA013986R1,KIT 1/2 3p FP HR S6-T6,173,0.705,pcs,1,,Devices
1SDA013987R0001,1SDA013987R1,KIT 1/2 4p FP HR S6-T6,228,0.705,pcs,1,,Devices
1SDA013988R0001,1SDA013988R1,KIT 1/2 3p FP VR S6-T6,173,0.705,pcs,1,,Devices
1SDA013989R0001,1SDA013989R1,KIT 1/2 4p FP VR S6-T6,228,0.705,pcs,1,,Devices
1SDA014038R0001,1SDA014038R1,TERMINAL COVERS LOW 3P S6-T6,116,0.203,pcs,1,,Devices
1SDA014039R0001,1SDA014039R1,TERMINAL COVERS LOW 4P S6-T6,145,0.265,pcs,1,,Devices
1SDA014040R0001,1SDA014040R1,TERMINAL COVERS HIGH 3P S6-T6,116,0.515,pcs,1,,Devices
1SDA014041R0001,1SDA014041R1,TERMINAL COVERS HIGH 4P S6-T6,145,0.69,pcs,1,,Devices
1SDA023379R0001,1SDA023379R1,KIT EF T6 630 - S6 630 3pcs,76,0.402,pcs,1,,Devices
1SDA023380R0001,1SDA023380R1,KIT FC CuAl 2x240mm2 T6 630-S6 630 3pcs,152,0.35,pcs,1,,Devices
1SDA023381R0001,1SDA023381R1,KIT RC 2x150mm2 T6 630 - S6 630 3pcs,152,0.887,pcs,1,,Devices
1SDA023383R0001,1SDA023383R1,KIT EF T6 800 - S6 800 3pcs,102,0.703,pcs,1,,Devices
1SDA023384R0001,1SDA023384R1,KIT FC CuAl 3x185mm2 T6 800-S6 800 3pcs,204,1.067,pcs,1,,Devices
1SDA023385R0001,1SDA023385R1,KIT 1/2 3p F F>F RC S6-T6 800,222,0.912,pcs,1,,Devices
