ProductId;LocalOrderCode;HasGraphicalItem;Description_EN;Description_DE;Price;weight;UnitOfMeasure;Quantity;Accessory;Title;;;
1SDA013699R0001;1SDA013699R1;0;SCREWS SEAL S3..S7-T6-T7;Isol. Schraube Plombierung S3-S7 Zub. f. Leistungsschalter S3-S7;23.80;0.014;pcs;1;;Device;;;
1SDA013920R0001;1SDA013920R1;0;KIT EF T6 630 - S6 630 6pcs;Umbaus.  Ans. 6 S6 T6  630 F FF EF Zub. f. Leistungsschalter S6/T6;152.00;0.792;pcs;1;;Device;;;
1SDA013921R0001;1SDA013921R1;0;KIT EF T6 630 - S6 630 8pcs;Umbaus.  Ans. 8 S6 T6  630 F FF EF Zub. f. Leistungsschalter S6/T6;204.00;1;pcs;1;;Device;;;
1SDA013922R0001;1SDA013922R1;0;KIT FC CuAl 2x240mm2 T6 630-S6 630 6pcs;Umbaus.  Ans. 6 S6 T6  630 F FF Cual Zub. f. Leistungsschalter S6/T6;307.00;0.489;pcs;1;;Device;;;
1SDA013923R0001;1SDA013923R1;0;KIT FC CuAl 2x240mm2 T6 630-S6 630 8pcs;Umbaus.  Ans. 8 S6 T6  630 F FF Cual Zub. f. Leistungsschalter S6/T6;412.00;0.909;pcs;1;;Device;;;
1SDA013924R0001;1SDA013924R1;0;KIT RC 2x150mm2 T6 630 - S6 630 6pcs;Umbaus.  Ans. 6 S6  630    F FF RC Zub. f. Leistungsschalter S6;307.00;1.826;pcs;1;;Device;;;
1SDA013925R0001;1SDA013925R1;0;KIT RC 2x150mm2 T6 630 - S6 630 8pcs;Umbaus.  Ans. 8 S6  630    F FF RC Zub. f. Leistungsschalter S6;412.00;2.422;pcs;1;;Device;;;
1SDA013954R0001;1SDA013954R1;0;KIT EF T6 800 - S6 800 6pcs;Umbaus.  Ans. 6 S6 T6  800 F FF EF Zub. f. Leistungsschalter S6/T6;204.00;1.394;pcs;1;;Device;;;
1SDA013955R0001;1SDA013955R1;0;KIT EF T6 800 - S6 800 8pcs;Umbaus.  Ans. 8 S6 T6  800 F FF EF Zub. f. Leistungsschalter S6/T6;274.00;1.85;pcs;1;;Device;;;
1SDA013956R0001;1SDA013956R1;0;KIT FC CuAl 3x185mm2 T6 800-S6 800 6pcs;Umbaus.  Ans. 6 S6 T6  800 F FF Cual Zub. f. Leistungsschalter S6/T6;412.00;2.123;pcs;1;;Device;;;
1SDA013957R0001;1SDA013957R1;0;KIT FC CuAl 3x185mm2 T6 800-S6 800 8pcs;Umbaus.  Ans. 8 S6 T6  800 F FF Cual Zub. f. Leistungsschalter S6/T6;545.00;2.803;pcs;1;;Device;;;
1SDA013958R0001;1SDA013958R1;0;KIT RC 3x240mm2 T6 800 - S6 800 6pcs;Umbaus.  Ans. 6 S6 T6 800    F FF RC Zub. f. Leistungsschalter S6/T6;443.00;1.946;pcs;1;;Device;;;
