8_Digit_Code,15 Digit Code,Product Type Assembled,15 digit code Assembled,Description,Item,SAP_IT_Component,Description,Q.ty,UM,Weight,DWG,Noble Part Code,Valid Since ,Valid to ,Mod. N.,Status,DELETED,Modification applied,Material,ABB_Library_Document_Number,ABB_Library_Document_Link_DXF,DXF,ABB_Library_Document_Link_PDF,PDF,Figure,W,D
PBNE8031,1STQ005447B0000,PBNE8031A,1STQ001474M0000,CONN XLI N_N D800 30X10 3200/4000A,10,863978/006,CONNECTION N 30X10 P800,1,ST,1.2,863978,,02.11.2017,31.12.9999,IND01780,,,,Copper,1STD000081,http://search.abb.com/library/Download.aspx?DocumentID=1STD000081&LanguageCode=de&LanguageCode=en&LanguageCode=it&DocumentPartId=dxf&Action=Launch,1STD000081,http://search.abb.com/library/Download.aspx?DocumentID=1STD000081&LanguageCode=de&LanguageCode=en&LanguageCode=it&DocumentPartId=pdf&Action=Launch,1STD000081,6,30,10
PBNE8031,1STQ005447B0000,PBNE8031A,1STQ001474M0000,CONN XLI N_N D800 30X10 3200/4000A,20,VTE8X30,SCREW TE 4.8 UNI5739-DIN933 8X30,2,ST,0.03,,,02.11.2017,31.12.9999,IND01780,,,,Standard,,,,,,,,
PBNE8031,1STQ005447B0000,PBNE8031A,1STQ001474M0000,CONN XLI N_N D800 30X10 3200/4000A,30,DM8,NUT E-8-U5588-D934 M8,2,ST,0.01,,,02.11.2017,31.12.9999,IND01780,,,,Standard,,,,,,,,
PBNE8031,1STQ005447B0000,PBNE8031A,1STQ001474M0000,CONN XLI N_N D800 30X10 3200/4000A,40,MTZ8,WHASER C60 8.2X20X0.9,2,ST,0.002,,,02.11.2017,31.12.9999,IND01780,,,,Standard,,,,,,,,
PBNE8031,1STQ005447B0000,PBNE8031A,1STQ001474M0000,CONN XLI N_N D800 30X10 3200/4000A,50,VTE12X50,SCREW TE  U5739 12X50 ZINC COAT.  ,1,ST,0.05,,,02.11.2017,31.12.9999,IND01780,,,,Standard,,,,,,,,
PBNE8031,1STQ005447B0000,PBNE8031A,1STQ001474M0000,CONN XLI N_N D800 30X10 3200/4000A,60,MTZ12.5,GZN 490 084 P0109 RON.TAZZA D.INT.12.5X3,1,ST,0.003,,,02.11.2017,31.12.9999,IND01780,,,,Standard,,,,,,,,
PBNE8041,1STQ005448B0000,PBNE8041A,1STQ001476M0000,CONN XLI N_N D800 40X10 3200/4000A,10,863978/013,CONNECTION N 40X10 P800,1,ST,1.53,863978,,02.11.2017,31.12.9999,IND01780,,,,Copper,1STD000081,http://search.abb.com/library/Download.aspx?DocumentID=1STD000081&LanguageCode=de&LanguageCode=en&LanguageCode=it&DocumentPartId=dxf&Action=Launch,1STD000081,http://search.abb.com/library/Download.aspx?DocumentID=1STD000081&LanguageCode=de&LanguageCode=en&LanguageCode=it&DocumentPartId=pdf&Action=Launch,1STD000081,13,40,10
PBNE8041,1STQ005448B0000,PBNE8041A,1STQ001476M0000,CONN XLI N_N D800 40X10 3200/4000A,20,VTE8X30,SCREW TE 4.8 UNI5739-DIN933 8X30,2,ST,0.03,,,02.11.2017,31.12.9999,IND01780,,,,Standard,,,,,,,,
PBNE8041,1STQ005448B0000,PBNE8041A,1STQ001476M0000,CONN XLI N_N D800 40X10 3200/4000A,30,DM8,NUT E-8-U5588-D934 M8,2,ST,0.01,,,02.11.2017,31.12.9999,IND01780,,,,Standard,,,,,,,,
PBNE8041,1STQ005448B0000,PBNE8041A,1STQ001476M0000,CONN XLI N_N D800 40X10 3200/4000A,40,MTZ8,WHASER C60 8.2X20X0.9,2,ST,0.002,,,02.11.2017,31.12.9999,IND01780,,,,Standard,,,,,,,,
PBNE8041,1STQ005448B0000,PBNE8041A,1STQ001476M0000,CONN XLI N_N D800 40X10 3200/4000A,50,VTE12X50,SCREW TE  U5739 12X50 ZINC COAT.  ,1,ST,0.05,,,02.11.2017,31.12.9999,IND01780,,,,Standard,,,,,,,,
PBNE8041,1STQ005448B0000,PBNE8041A,1STQ001476M0000,CONN XLI N_N D800 40X10 3200/4000A,60,MTZ12.5,GZN 490 084 P0109 RON.TAZZA D.INT.12.5X3,1,ST,0.003,,,02.11.2017,31.12.9999,IND01780,,,,Standard,,,,,,,,
PBNE1031,1STQ005449B0000,PBNE1031A,1STQ001372M0000,CONN XLI N_N D1000 30X10 3200/4000A,10,863978/007,CONNECTION N 30X10 P1000,1,ST,1.28,863978,,02.11.2017,31.12.9999,IND01780,,,,Copper,1STD000081,http://search.abb.com/library/Download.aspx?DocumentID=1STD000081&LanguageCode=de&LanguageCode=en&LanguageCode=it&DocumentPartId=dxf&Action=Launch,1STD000081,http://search.abb.com/library/Download.aspx?DocumentID=1STD000081&LanguageCode=de&LanguageCode=en&LanguageCode=it&DocumentPartId=pdf&Action=Launch,1STD000081,7,30,10
PBNE1031,1STQ005449B0000,PBNE1031A,1STQ001372M0000,CONN XLI N_N D1000 30X10 3200/4000A,20,VTE8X30,SCREW TE 4.8 UNI5739-DIN933 8X30,2,ST,0.03,,,02.11.2017,31.12.9999,IND01780,,,,Standard,,,,,,,,
PBNE1031,1STQ005449B0000,PBNE1031A,1STQ001372M0000,CONN XLI N_N D1000 30X10 3200/4000A,30,DM8,NUT E-8-U5588-D934 M8,2,ST,0.01,,,02.11.2017,31.12.9999,IND01780,,,,Standard,,,,,,,,
PBNE1031,1STQ005449B0000,PBNE1031A,1STQ001372M0000,CONN XLI N_N D1000 30X10 3200/4000A,40,MTZ8,WHASER C60 8.2X20X0.9,2,ST,0.002,,,02.11.2017,31.12.9999,IND01780,,,,Standard,,,,,,,,
PBNE1031,1STQ005449B0000,PBNE1031A,1STQ001372M0000,CONN XLI N_N D1000 30X10 3200/4000A,50,VTE12X50,SCREW TE  U5739 12X50 ZINC COAT.  ,1,ST,0.05,,,02.11.2017,31.12.9999,IND01780,,,,Standard,,,,,,,,
PBNE1031,1STQ005449B0000,PBNE1031A,1STQ001372M0000,CONN XLI N_N D1000 30X10 3200/4000A,60,MTZ12.5,GZN 490 084 P0109 RON.TAZZA D.INT.12.5X3,1,ST,0.003,,,02.11.2017,31.12.9999,IND01780,,,,Standard,,,,,,,,
PBNE1041,1STQ005450B0000,PBNE1041A,1STQ001375M0000,CONN XLI N_N D1000 40X10 3200/4000A,10,863978/014,CONNECTION N 40X10 P1000,1,ST,1.71,863978,,02.11.2017,31.12.9999,IND01780,,,,Copper,1STD000081,http://search.abb.com/library/Download.aspx?DocumentID=1STD000081&LanguageCode=de&LanguageCode=en&LanguageCode=it&DocumentPartId=dxf&Action=Launch,1STD000081,http://search.abb.com/library/Download.aspx?DocumentID=1STD000081&LanguageCode=de&LanguageCode=en&LanguageCode=it&DocumentPartId=pdf&Action=Launch,1STD000081,14,40,10
PBNE1041,1STQ005450B0000,PBNE1041A,1STQ001375M0000,CONN XLI N_N D1000 40X10 3200/4000A,20,VTE8X30,SCREW TE 4.8 UNI5739-DIN933 8X30,2,ST,0.03,,,02.11.2017,31.12.9999,IND01780,,,,Standard,,,,,,,,
PBNE1041,1STQ005450B0000,PBNE1041A,1STQ001375M0000,CONN XLI N_N D1000 40X10 3200/4000A,30,DM8,NUT E-8-U5588-D934 M8,2,ST,0.01,,,02.11.2017,31.12.9999,IND01780,,,,Standard,,,,,,,,
PBNE1041,1STQ005450B0000,PBNE1041A,1STQ001375M0000,CONN XLI N_N D1000 40X10 3200/4000A,40,MTZ8,WHASER C60 8.2X20X0.9,2,ST,0.002,,,02.11.2017,31.12.9999,IND01780,,,,Standard,,,,,,,,
PBNE1041,1STQ005450B0000,PBNE1041A,1STQ001375M0000,CONN XLI N_N D1000 40X10 3200/4000A,50,VTE12X50,SCREW TE  U5739 12X50 ZINC COAT.  ,1,ST,0.05,,,02.11.2017,31.12.9999,IND01780,,,,Standard,,,,,,,,
PBNE1041,1STQ005450B0000,PBNE1041A,1STQ001375M0000,CONN XLI N_N D1000 40X10 3200/4000A,60,MTZ12.5,GZN 490 084 P0109 RON.TAZZA D.INT.12.5X3,1,ST,0.003,,,02.11.2017,31.12.9999,IND01780,,,,Standard,,,,,,,,
PBNE8051,1STQ005454B0000,PBNE8051A,1STQ001478M0000,CONN XLI N_N D800 50X10 3200/4000A,10,863979/006,CONNECTION N 50X10 P800 TIPO A,1,ST,2.36,863979,,02.11.2017,31.12.9999,IND01780,,,,Copper,1STD000082,http://search.abb.com/library/Download.aspx?DocumentID=1STD000082&LanguageCode=de&LanguageCode=en&LanguageCode=it&DocumentPartId=dxf&Action=Launch,1STD000082,http://search.abb.com/library/Download.aspx?DocumentID=1STD000082&LanguageCode=de&LanguageCode=en&LanguageCode=it&DocumentPartId=pdf&Action=Launch,1STD000082,6,50,10
PBNE8051,1STQ005454B0000,PBNE8051A,1STQ001478M0000,CONN XLI N_N D800 50X10 3200/4000A,20,VTE8X30,SCREW TE 4.8 UNI5739-DIN933 8X30,2,ST,0.03,,,02.11.2017,31.12.9999,IND01780,,,,Standard,,,,,,,,
PBNE8051,1STQ005454B0000,PBNE8051A,1STQ001478M0000,CONN XLI N_N D800 50X10 3200/4000A,30,DM8,NUT E-8-U5588-D934 M8,2,ST,0.01,,,02.11.2017,31.12.9999,IND01780,,,,Standard,,,,,,,,
PBNE8051,1STQ005454B0000,PBNE8051A,1STQ001478M0000,CONN XLI N_N D800 50X10 3200/4000A,40,MTZ8,WHASER C60 8.2X20X0.9,2,ST,0.002,,,02.11.2017,31.12.9999,IND01780,,,,Standard,,,,,,,,
