Item;Description;Description ;Beschreibung;M;L;DIN;ISO;UNI;Weight;ArtNr. SUJ;Beschreibung
A942;NUT IN GABBIA M8;Cage Nut;Käfigmutter M8  1,8-3,2;8;0;MISSING;MISSING;MISSING;0.003;14410;Käfigmutter M8  1,8-3,2
AVF4TX;SACCHETTO N°4 SCREW 6x10 SELF TAPPING TORX;4*VTCC6X10TX;Beipack Schraube M6x10 Torx (5x18382);6;10;MISSING;MISSING;MISSING;0.025;107124;Beipack Schraube M6x10 Torx (5x18382)
AVTX;SACCHETTO N°12 SCREW 6x10 SELF TAPPING TORX;12*VTCC6X10TX;Beipack Schraube M6x10 Torx (12x18382);6;10;MISSING;MISSING;MISSING;0.075;120530;Beipack Schraube M6x10 Torx (12x18382)
DM10;NUT E-8-U5588-D934 M10;Hex nut nominal height - 0,8d ;Sechskantmuttern - 0,8d ;10;0;934;4032;5588;0.009;10906;Sechskantmutter M10  DIN934 verz.
DM12;NUT E-8-U5588-D934 M12;Hex nut nominal height - 0,8d ;Sechskantmuttern - 0,8d ;12;0;934;4032;5588;0.011;10907;Sechskantmutter M12
DM6;NUT E-8-U5588-D934 M6;Hex nut nominal height - 0,8d ;Sechskantmuttern - 0,8d ;6;0;934;4032;5588;0.005;MISSING;Sechskantmutter M8 DIN934 verz.
DM8;NUT E-8-U5588-D934 M8;Hex nut nominal height - 0,8d ;Sechskantmuttern - 0,8d ;8;0;934;4032;5588;0.007;10905;Sechskantmutter M8  DIN934 verz.
GRANOM10X20;THREADED PIN M10X20;THREADED PIN M10X20;GEWINDESTIFT;10;20;0;0;0;0.002;132514;GEWINDESTIFT M10X20MM  DIN551 VERZ.
GRANOM10X25;THREADED PIN M10X21;THREADED PIN M10X21;GEWINDESTIFT;10;25;0;0;0;0.002;12698;GEWINDESTIFT M10X25MM  DIN551 VERZ.
GRANOM10X30;THREADED PIN M10X22;THREADED PIN M10X22;GEWINDESTIFT;10;30;0;0;0;0.003;111658;GEWINDESTIFT M10X30MM  DIN551 VERZ.
ISO-M10X35;ISOLATOR M10X35 X BARRE;Isolator 35x32mm M10 braun;Isolator;10;35;MISSING;MISSING;MISSING;0,072916667;132432;Isolator 35x32mm M10 braun
ISO-M10X40;ISOLATOR M10X40 X BARRE;Isolator 40x40mm M10 braun;Isolator;10;40;MISSING;MISSING;MISSING;0,079861111;11003;Isolator 40x40mm M10 braun
ISO-M10X45;ISOLATOR M10X45 X BARRE;Isolator 45x40mm M10 braun;Isolator;10;45;MISSING;MISSING;MISSING;00.13;132433;Isolator 45x40mm M10 braun
ISO-M10X50;ISOLATOR M10X50 X BARRE;Isolator 50x40mm M10 braun;Isolator;10;50;MISSING;MISSING;MISSING;0,100694444;103301;Isolator 50x40mm M10 braun
ISO-M10X60;ISOLATOR M10X60 X BARRE;Isolator 60x40mm M10 braun;Isolator;10;60;MISSING;MISSING;MISSING;00.16;104792;Isolator 60x40mm M10 braun
ISO-M10X65;ISOLATOR M10X65;Isolator 65x41mm M10 braun;Isolator;10;65;MISSING;MISSING;MISSING;00.18;132516;Isolator 65x41mm M10 braun
ISO-M8X30;ISOLATOR M8X30 X BARRE;Isolator 30x30mm M8 braun;Isolator;8;30;MISSING;MISSING;MISSING;00.04;11002;Isolator 30x30mm M8 braun
ISO-M8X35;ISOLATOR M8X35 X BARRE;Isolator 35x32mm M8 braun;Isolator;8;35;MISSING;MISSING;MISSING;0,072916667;132430;Isolator 35x32mm M8 braun
ISO-M8X40;ISOLATOR M8X40 X BARRE;Isolator 40x40mm M8 braun;Isolator;8;40;MISSING;MISSING;MISSING;0,079861111;132431;Isolator 40x40mm M8 braun
MTZ10;WHASER C60 10,2X22X1,2 ZINC COAT.;Disc springs ;Tellerfedern;10;0;6796;0;8737A;0.002;12686;Spannscheibe (DIN 6796-10)
MTZ12.5;GZN 490 084 P0109 RON.TAZZA D.INT.12,5X3;Disc springs ;Tellerfedern;12;0;6796;0;8737A;0.003;12687;Spannscheibe (DIN 6796-12)
MTZ6;MISSING;Disc springs ;Tellerfedern;6;0;6796;0;8737A;0.001;MISSING;Spannscheibe (DIN 6796-6)
MTZ8;WHASER C60 8,2X20X0,9;Disc springs ;Tellerfedern;8;0;6796;0;8737A;0.002;12685;SPANNSCHEIBE A8,4
RPD8X24;WHASER PLANE D.8X24 GREMB.NA ZB;Shim washers;Distanzscheiben ;8;0;988;0;0;0.004;14337;U-Scheibe D 8,4mm  DIN9021 verz. für M8
VTC6X10RX;SCREW TC M6X10 METRICA TORX TESTA RIBASS.;MISSING;MISSING;6;10;7500;MISSING;MISSING;0.001;18382;M6x10 selbstf. DIN7500 m. Linsenkopf DIN
VTCC6X10TRX;VITE TC M6X10 TRILOB. TORX TESTA RIBASS.;Hexalobular socket flat head screws;Zylinderschrauben;6;10;MISSING;MISSING;MISSING;0.001;132434;Zyl.Schraube I.6kt. M6x10mm  BN9524
VTCC6X10TX;SCREW TC CR. C/IMB. 6X10 TRILOB.Z.B. TORX;Cross recessed raised cheese (fillister) thread forming screw;MISSING;6;10;7500-C;MISSING;8112;0.004;18382;M6x10 selbstf. DIN7500 m. Linsenkopf DIN
VTE 6X55;SCREW TE 4.8 UNI5739-DIN933 6X55 ZB;Hex cap screws;Sechskantschrauben ;6;60;933;4017;5739;MISSING;132488;Sechskantschraube M6x55mm DIN933 8.8 vz
VTE10X10;SCREW TE  U5739 10X10 ZINC COAT.  ;Hex cap screws;Sechskantschrauben ;10;10;933;4017;5739;0.015;132435;Sechskantschraube M10x10mm DIN933 8.8 vz
VTE10X100;SCREW TE 10X100 ZINC COAT.  ;Hex cap screws;Sechskantschrauben ;10;100;933;4017;5739;0,434722222;10954;Sechskantschraube M10x100mm DIN933 8.8vz
VTE10X105;SCREW TE  U5739 10X105 ZINC COAT.  ;Hex cap screws;Sechskantschrauben ;10;105;933;4017;5739;MISSING;132441;Sechskantschraube M10x105mm DIN933 8.8vz
VTE10X110;SCREW TE  U5739 10X110 ZINC COAT.  ;Hex cap screws;Sechskantschrauben ;10;110;933;4017;5739;MISSING;132441;Sechskantschraube M10x110mm DIN933 8.8vz
VTE10X12;SCREW TE 10X12;Hex cap screws;Sechskantschrauben ;10;12;933;4017;5739;00.01;132436;Sechskantschraube M10x12mm DIN933 8.8 vz
VTE10X15;MISSING;Hex cap screws;Sechskantschrauben ;10;15;MISSING;MISSING;MISSING;0,077083333;MISSING;MISSING
VTE10X20;SCREW TE  M10X20;Hex cap screws;Sechskantschrauben ;10;20;933;4017;5739;0,085416667;10925;Sechskantschraube M10x20mm DIN933 8.8 vz
VTE10X25;SCREW T.ESAGONALE M10X25 ZB;Hex cap screws;Sechskantschrauben ;10;25;933;4017;5739;0,096527778;10926;Sechskantschraube M10x25mm DIN933 8.8 vz
VTE10X30;SCREW TE  U5739 10X30 ZINC COAT.  ;Hex cap screws;Sechskantschrauben ;10;30;933;4017;5739;0,107638889;10927;Sechskantschraube M10x30
VTE10X35;SCREW TE  U5739 10X35 ZINC COAT.  ;Hex cap screws;Sechskantschrauben ;10;35;933;4017;5739;0,11875;10928;Sechskantschraube M10x35mm DIN933 8.8 vz
VTE10X40;SCREW TE  M10X40 ZINC COAT.  ;Hex cap screws;Sechskantschrauben ;10;40;933;4017;5739;0,129861111;10929;Sechskantschraube M10x40mm DIN933 8.8 vz
VTE10X45;SCREW TE  U5739 10X45 ZINC COAT.  ;Hex cap screws;Sechskantschrauben ;10;45;933;4017;5739;0,140972222;109334;Sechskantschraube M10x45mm DIN933 8.8 vz
